datetime_start,datetime_end,duration_seconds,window_title,user_state
2025-06-10 18:45:14,2025-06-10 18:45:28,14,N/A,Pacing
2025-06-10 18:45:28,2025-06-10 18:45:28,0,Window Monitor,Active Work
2025-06-10 18:45:28,2025-06-10 18:45:31,3,Window Monitor,Active Work
2025-06-10 18:45:31,2025-06-10 18:45:54,23,Natanael Cano || BZRP Music Sessions #59 - YouTube - Google Chrome,Active Work
2025-06-10 18:45:54,2025-06-10 18:46:20,26,Window Monitoring System Design - Claude - Google Chrome,Active Work
2025-06-10 18:46:20,2025-06-10 18:46:43,23,Natanael Cano || BZRP Music Sessions #59 - YouTube - Google Chrome,Active Work
2025-06-10 18:46:43,2025-06-10 18:48:38,115,DeepSeek - Into the Unknown - Google Chrome,Active Work
2025-06-10 18:48:38,2025-06-10 18:48:59,21,Página principal - Google Drive - Google Chrome,Active Work
2025-06-10 18:48:59,2025-06-10 18:50:05,66,Time Management - Windsurf - unique_windows.txt,Active Work
2025-06-10 18:50:05,2025-06-10 18:50:15,10,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 18:50:15,2025-06-10 18:50:17,2,Time Management - Windsurf - window_check.py,Active Work
2025-06-10 18:50:17,2025-06-10 18:50:32,15,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 18:50:32,2025-06-10 18:51:13,41,Window Monitoring System Design - Claude - Google Chrome,Active Work
2025-06-10 18:51:13,2025-06-10 18:53:04,111,Window Monitor,Active Work
2025-06-10 18:53:04,2025-06-10 18:53:07,3,Window Monitoring System Design - Claude - Google Chrome,Active Work
2025-06-10 18:53:07,2025-06-10 18:53:10,3,Time Management - Windsurf - unique_windows.txt,Active Work
2025-06-10 18:53:10,2025-06-10 18:53:45,35,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 18:53:45,2025-06-10 19:03:23,578,Window Monitoring System Design - Claude - Google Chrome,Active Work
2025-06-10 19:03:23,2025-06-10 19:03:26,3,Window Monitor,Active Work
2025-06-10 19:03:23,2025-06-10 19:03:27,4,Window Monitor,Active Work
2025-06-10 21:01:27,2025-06-10 21:01:31,4,N/A,Pacing
2025-06-10 21:01:31,2025-06-10 21:01:31,0,Window Monitor,Active Work
2025-06-10 21:01:31,2025-06-10 21:01:36,5,Window Monitor,Active Work
2025-06-10 21:01:36,2025-06-10 21:01:49,13,Time Management - Windsurf - window_logs.csv,Active Work
2025-06-10 21:01:49,2025-06-10 21:01:52,3,Natanael Cano || BZRP Music Sessions #59 - YouTube - Google Chrome,Active Work
2025-06-10 21:01:52,2025-06-10 21:03:27,95,YouTube - Google Chrome,Active Work
2025-06-10 21:03:27,2025-06-10 21:03:29,2,,Active Work
2025-06-10 21:03:29,2025-06-10 21:03:30,1,Inbox (208) - krishandheredia@gmail.com - Gmail - Google Chrome,Active Work
2025-06-10 21:03:30,2025-06-10 21:03:45,15,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:03:45,2025-06-10 21:03:46,1,Search,Active Work
2025-06-10 21:03:46,2025-06-10 21:03:49,3,Reloj,Active Work
2025-06-10 21:03:49,2025-06-10 21:04:38,49,Crea un CV Europass Ganador de Becas - PersonalBranding.pe - Google Chrome,Active Work
2025-06-10 21:04:38,2025-06-10 21:04:39,1,,Active Work
